"LULC","n","AGBv.mean","AGBv.sd","AGBm.mean","AGBm.sd","BGB.mean","BGB.sd","BM.mean","BM.sd"
"Cultures_Jachères/Fourrées",108,20.0114861012723,31.6771640778077,2.32995783251738,8.63486202152105,6.55901285487442,8.442407265766,28.9004567886641,40.5630146257862
"Forêts claires/savanes boisées",251,50.1216378240405,33.5000943678607,2.12715752913607,5.24076770256596,14.363839512876,8.70005928606635,66.6126348660525,42.593983462231
"Forêts denses",138,96.7636230739654,69.67829080393,3.7952666969607,7.49979449105,26.7519695496457,18.9995255526511,127.310859320572,89.2597404651628
"Forêts riveraines/marécageuses",101,84.0561940379515,66.080330139836,3.47031102099685,5.88977388422874,23.2940543727676,17.9864258395584,110.820559431716,84.8954383886391
"Plantations forestières",24,23.2978991508581,19.569991013447,0.0655241769071966,0.146229265624893,7.87518384749064,4.75931473483478,31.238607175256,24.1017041888162
"Plantations fruitières et de palmiers",19,18.8884680223304,20.9567135569231,0.425268116502986,1.35505316834469,5.9873108872257,5.4022116093889,25.3010470260591,27.0974424083513
"Savane arborée/savane arbustive",277,16.4213657075453,15.368823269861,0.655826915686884,1.63292287683299,6.26086999762143,4.0770935209357,23.3380626208536,19.6719520654175
NA,27,0,0,0,0,0,0,0,0
