"reg","defor.area","defor.area.a","defor.agb.ha","defor.agb.a","defor.bgb.ha","defor.bgb.a","defor.co2.ha","defor.co2.a","regen.area","regen.area.a","regen.agb.ha","regen.agb.a","regen.bgb.ha","regen.bgb.a","regen.co2.ha","regen.co2.a"
"TGO",225897.39,15059.826,29.2151602540372,439975.229987916,7.1764522958764,108076.122873199,62.7148789610178,944475.164763989,147359.79,9823.986,9.94561655380086,97705.5977859079,2.6878971210057,26405.8636862003,21.7717552329166,213885.4186036
"Centre",70239.96,4682.664,44.3573832520493,207710.721688574,10.8795181580769,50945.1280161728,95.1915934301174,445750.247657847,43250.67,2883.378,12.0870120035312,34851.4244967178,3.30625250090999,9533.17572356885,26.5277258293203,76489.4610462939
"Kara",23173.74,1544.916,26.7726870692851,41361.5526163316,6.14151743639236,9488.12855176153,56.7221457647841,87630.9505463472,10411.29,694.086,13.2641558758431,9206.46489524042,3.36902399832691,2338.39239090273,28.6645133164863,19895.6373897867
"Maritime",49091.49,3272.766,0.619125755780688,2026.25372324334,0.321562807561573,1052.39982345206,1.62111995749316,5305.54627880506,36998.64,2466.576,3.86859002881963,9542.17131892581,1.25623945619211,3098.61009289652,8.83178947917023,21784.2799663738
"Plateaux",79266.33,5284.422,30.6008097083902,161707.592040831,7.59682176525077,40144.81206637,65.8272515729078,347858.976411409,54992.7,3666.18,10.4269182959279,38226.9593181648,2.73485091282447,10026.4557195788,22.6821156030832,83156.7185817115
"Savanes",4125.87,275.058,24.7370917951574,6804.13499499241,5.64053069519846,1551.4730919599,52.3507694250466,14399.4979365145,1706.49,113.766,15.3388734995383,1745.04228254848,3.76328221870466,428.133564893154,32.9193816877721,3745.10637709108
